Polyglot,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KEYREMAPPER_TITTLE","","Key Remapper",,,,,,,,,,,,,,,,,按键绑定,,,,,,,,,,
"KEYREMAPPER_CONTROLLER_BUTTON_L_X","","Left A/X",,,,,,,,,,,,,,,,,左 A/X,,,,,,,,,,
"KEYREMAPPER_CONTROLLER_BUTTON_L_Y","","Left B/Y",,,,,,,,,,,,,,,,,左 B/Y,,,,,,,,,,
"KEYREMAPPER_CONTROLLER_BUTTON_R_A","",Right A/X,,,,,,,,,,,,,,,,,右 A/X,,,,,,,,
"KEYREMAPPER_CONTROLLER_BUTTON_R_B","",Right B/Y,,,,,,,,,,,,,,,,,右 B/Y,,,,,,,,,,
"KEYREMAPPER_CONTROLLER_BUTTON_L_GRIP","","Left Grip",,,,,,,,,,,,,,,,,左持握,,,,,,,,,
"KEYREMAPPER_CONTROLLER_BUTTON_R_GRIP","","Right Grip",,,,,,,,,,,,,,,,,右持握,,,,,,,,,,
"KEYREMAPPER_CONTROLLER_BUTTON_L_TRIGGER","","Left Trigger",,,,,,,,,,,,,,,,,左扳机,,,,,,,,,
"KEYREMAPPER_CONTROLLER_BUTTON_R_TRIGGER","","Right Trigger",,,,,,,,,,,,,,,,,右扳机,,,,,,,,,
"KEYREMAPPER_CONTROLLER_BUTTON_L_STICK","","Left Thumbstick",,,,,,,,,,,,,,,,,左摇杆,,,,
"KEYREMAPPER_CONTROLLER_BUTTON_R_STICK","","Right Thumbstick",,,,,,,,,,,,,,,,,右摇杆,,,,
"KEYREMAPPER_CONTROLLER_BUTTON_L_MENU","","Left Menu",,,,,,,,,,,,,,,,,左菜单,,,,
"KEYREMAPPER_CONTROLLER_BUTTON_R_MENU","","Right Menu",,,,,,,,,,,,,,,,,右菜单,,,,
"KEYREMAPPER_MENU_BUTTON_HINT","",Configure controller bindings,,,,,,,,,,,,,,,,,编辑按键绑定,,,,,,,,,,
"KEYREMAPPER_SETTING_ACTION_PAUSE","","Pause",,,,,,,,,,,,,,,,,暂停,,,,,,,,,,
"KEYREMAPPER_SETTING_ACTION_RESTART","","Restart",,,,,,,,,,,,,,,,,重新开始,,,,,,,,,,
"KEYREMAPPER_SETTING_BINDING_TAB_BINDING_LIST_HEADER","","Current Bindings",,,,,,,,,,,,,,,,,当前绑定,,,,,,,,,,
"KEYREMAPPER_SETTING_BINDING_TAB_BINDING_LIST_EMPTY_TEXT","","No bindings yet!",,,,,,,,,,,,,,,,,暂无绑定！,,,,,,,,,,
"KEYREMAPPER_SETTING_BINDING_TAB_BINDING_LIST_REMOVE_BINDING","","Delete",,,,,,,,,,,,,,,,,删除,,,,,,,,,,
"KEYREMAPPER_SETTING_BINDING_TAB_TOGGLE_ENABLE_LABEL","","Enable",,,,,,,,,,,,,,,,,启用,,,,,,,,,,
"KEYREMAPPER_SETTING_BINDING_TAB_TOGGLE_BLOCK_BUILTIN_LABEL","",Block Default Button,,,,,,,,,,,,,,,,,屏蔽默认暂停键,,,,,,,,,,
"KEYREMAPPER_SETTING_BINDING_TAB_ADD_BINDING_DROPDOWN_LABEL","","Add Binding",,,,,,,,,,,,,,,,,添加绑定,,,,,,,,,,
"KEYREMAPPER_SETTING_BINDING_TAB_ADD_BINDING_BUTTON","","Add",,,,,,,,,,,,,,,,,添加,,,,,,,,,,
"KEYREMAPPER_SETTING_BINDING_TAB_ADD_BINDING_CANNOT_ADD","","No more buttons to add!",,,,,,,,,,,,,,,,,没有能绑定的按钮了！,,,,,,,,,,
